difference,difference_memory,element1,element2,period,position1,position2
-4,0,agent-1,agent-0,26,5,1
-4,0,agent-1,agent-0,27,5,1
-4,0,agent-1,agent-0,28,5,1
-4,0,agent-1,agent-0,29,5,1
-4,0,agent-1,agent-0,30,5,1
-4,0,agent-1,agent-0,31,5,1
-4,0,agent-1,agent-0,32,5,1
-4,0,agent-1,agent-0,33,5,1
-4,0,agent-1,agent-0,34,5,1
-4,0,agent-1,agent-0,35,5,1
-4,0,agent-1,agent-0,36,5,1
-4,0,agent-1,agent-0,37,5,1
-4,0,agent-1,agent-0,38,5,1
-4,0,agent-1,agent-0,39,5,1
-3,0,agent-1,agent-0,40,4,1
-3,0,agent-1,agent-0,41,4,1
-3,0,agent-1,agent-0,42,4,1
-4,0,agent-1,agent-0,43,5,1
-4,0,agent-1,agent-0,44,5,1
-4,0,agent-1,agent-0,45,5,1
-4,0,agent-1,agent-0,46,5,1
-4,0,agent-1,agent-0,47,5,1
-4,0,agent-1,agent-0,48,5,1
-3,0,agent-1,agent-0,49,4,1
4,0,agent-1,agent-2,1,1,5
-2,0,agent-1,agent-2,2,4,2
1,0,agent-1,agent-2,3,3,4
-1,0,agent-1,agent-2,4,5,4
-2,0,agent-1,agent-2,5,4,2
-2,0,agent-1,agent-2,6,5,3
1,0,agent-1,agent-2,7,4,5
1,0,agent-1,agent-2,8,4,5
-1,0,agent-1,agent-2,9,3,2
1,0,agent-1,agent-2,10,3,4
-1,0,agent-1,agent-2,11,4,3
-1,0,agent-1,agent-2,12,4,3
1,0,agent-1,agent-2,13,4,5
-1,0,agent-1,agent-2,14,4,3
-2,0,agent-1,agent-2,15,5,3
-1,0,agent-1,agent-2,16,4,3
-1,0,agent-1,agent-2,17,4,3
-1,0,agent-1,agent-2,18,4,3
-1,0,agent-1,agent-2,19,4,3
-1,0,agent-1,agent-2,20,4,3
-2,0,agent-1,agent-2,21,5,3
-2,0,agent-1,agent-2,22,5,3
-2,0,agent-1,agent-2,23,5,3
-1,0,agent-1,agent-2,24,4,3
-2,0,agent-1,agent-2,25,4,2
-2,0,agent-1,agent-2,26,5,3
-1,0,agent-1,agent-2,27,5,4
-2,0,agent-1,agent-2,28,5,3
-2,0,agent-1,agent-2,29,5,3
-2,0,agent-1,agent-2,30,5,3
-3,0,agent-1,agent-2,31,5,2
-1,0,agent-1,agent-2,32,5,4
-2,0,agent-1,agent-2,33,5,3
-2,0,agent-1,agent-2,34,5,3
-2,0,agent-1,agent-2,35,5,3
-2,0,agent-1,agent-2,36,5,3
-3,0,agent-1,agent-2,37,5,2
-2,0,agent-1,agent-2,38,5,3
-2,0,agent-1,agent-2,39,5,3
-1,0,agent-1,agent-2,40,4,3
-1,0,agent-1,agent-2,41,4,3
-1,0,agent-1,agent-2,42,4,3
-2,0,agent-1,agent-2,43,5,3
-2,0,agent-1,agent-2,44,5,3
-2,0,agent-1,agent-2,45,5,3
-3,0,agent-1,agent-2,46,5,2
-3,0,agent-1,agent-2,47,5,2
-2,0,agent-1,agent-2,48,5,3
-1,0,agent-1,agent-2,49,4,3
3,0,agent-1,agent-3,1,1,4
-1,0,agent-1,agent-3,2,4,3
2,0,agent-1,agent-3,3,3,5
-2,0,agent-1,agent-3,4,5,3
-1,0,agent-1,agent-3,5,4,3
-3,0,agent-1,agent-3,6,5,2
-2,0,agent-1,agent-3,7,4,2
-2,0,agent-1,agent-3,8,4,2
2,0,agent-1,agent-3,9,3,5
-1,0,agent-1,agent-3,10,3,2
-2,0,agent-1,agent-3,11,4,2
-2,0,agent-1,agent-3,12,4,2
-2,0,agent-1,agent-3,13,4,2
-2,0,agent-1,agent-3,14,4,2
-3,0,agent-1,agent-3,15,5,2
-2,0,agent-1,agent-3,16,4,2
-2,0,agent-1,agent-3,17,4,2
-2,0,agent-1,agent-3,18,4,2
-2,0,agent-1,agent-3,19,4,2
-2,0,agent-1,agent-3,20,4,2
-3,0,agent-1,agent-3,21,5,2
-3,0,agent-1,agent-3,22,5,2
-3,0,agent-1,agent-3,23,5,2
-2,0,agent-1,agent-3,24,4,2
-1,0,agent-1,agent-3,25,4,3
-3,0,agent-1,agent-3,26,5,2
-3,0,agent-1,agent-3,27,5,2
-3,0,agent-1,agent-3,28,5,2
-3,0,agent-1,agent-3,29,5,2
-3,0,agent-1,agent-3,30,5,2
-2,0,agent-1,agent-3,31,5,3
-3,0,agent-1,agent-3,32,5,2
